3;2;a;x;y;t;1;23.1235;300.1235
3;2;a;x;y;t;2;23.1235;300.1235
3;2;a;x;y;t;3;23.1235;300.1235
3;2;a;x;y;t;4;23.1235;300.1235
3;2;a;x;y;t;5;23.1235;300.1235
3;2;a;x;y;t;6;23.1235;300.1235
3;2;a;x;y;t;7;23.1235;300.1235
3;2;a;x;y;t;8;23.1235;300.1235
3;2;a;x;y;t;9;23.1235;300.1235
3;2;a;x;y;t;10;23.1235;300.1235
3;2;a;x;y;t;11;23.1235;300.1235
3;2;a;x;y;t;12;23.1235;300.1235
3;2;a;x;y;t;13;23.1235;300.1235
3;2;a;x;y;t;14;23.1235;300.1235
3;2;a;x;y;t;15;23.1235;300.1235
3;2;a;x;y;t;16;23.1235;300.1235
3;2;a;x;y;t;17;23.1235;300.1235
3;2;a;x;y;t;18;23.1235;300.1235
3;2;a;x;y;t;19;23.1235;300.1235
3;2;a;x;y;t;20;23.1235;300.1235
3;2;a;x;y;t;21;23.1235;300.1235
3;2;a;x;y;t;22;23.1235;300.1235
3;2;a;x;y;t;23;23.1235;300.1235
3;2;a;x;y;t;24;23.1235;300.1235
3;2;a;x;y;t;25;23.1235;300.1235
3;2;a;x;y;t;26;23.1235;300.1235
3;2;a;x;y;t;27;23.1235;300.1235
